name,position,college,original_rank,scout_grade,ml_prediction,ppg,rpg,apg,ml_rank,ml_gen_probability,final_rank,final_gen_probability,final_grade,confidence_low,confidence_high
Tyrese Proctor,PG,Duke,37,C,0.2430404761904761,10.8,3.0,3.0,43,0.2430404761904761,43,0.2430404761904761,Project,0.09304047619047612,0.3930404761904761
Bogoljub Markovic,PF,Mega,41,C,0.2427977344877344,12.3,6.1,2.4,44,0.2427977344877344,44,0.2427977344877344,Project,0.0927977344877344,0.39279773448773436
Hansen Yang,C,Qingdao,43,C,0.2375883297258297,15.8,10.7,3.5,45,0.2375883297258297,45,0.2375883297258297,Project,0.0875883297258297,0.3875883297258297
Hunter Sallis,SG,Wake Forest,45,C,0.2300463492063492,11.1,3.3,1.8,46,0.2300463492063492,46,0.2300463492063492,Project,0.0800463492063492,0.38004634920634917
Ryan Kalkbrenner,C,Creighton,32,C,0.2299352344877344,14.5,6.8,1.1,47,0.2299352344877344,47,0.2299352344877344,Project,0.0799352344877344,0.37993523448773436
Johni Broome,C,Auburn,44,C,0.2217690440115439,16.1,9.5,1.7,48,0.2217690440115439,48,0.2217690440115439,Project,0.07176904401154391,0.37176904401154387
Rocco Zikarsky,C,Brisbane,48,C,0.2041745238095237,3.8,2.6,0.2,49,0.2041745238095237,49,0.2041745238095237,Project,0.0541745238095237,0.3541745238095237
Amari Williams,PF,Kentucky,50,C,0.1913911471861472,10.4,7.4,2.0,50,0.1913911471861472,50,0.1913911471861472,Project,0.0413911471861472,0.34139114718614716
Mark Sears,PG,Alabama,52,C-,0.0834233333333332,16.7,3.9,3.9,51,0.0834233333333332,51,0.0834233333333332,Project,0.0,0.2334233333333332
Eric Dixon,PF,Villanova,53,C-,0.0653833333333333,14.3,5.6,1.4,52,0.0653833333333333,52,0.0653833333333333,Project,0.0,0.2153833333333333
Brice Williams,SG,Nebraska,54,C-,0.0649833333333333,12.5,4.2,1.6,53,0.0649833333333333,53,0.0649833333333333,Project,0.0,0.2149833333333333
Micah Peavy,SF,Georgetown,58,C-,0.0546733333333333,9.5,4.2,2.0,54,0.0546733333333333,54,0.0546733333333333,Project,0.0,0.2046733333333333
John Tonje,SG,Wisconsin,51,C-,0.0508333333333332,10.8,3.4,1.0,55,0.0508333333333332,55,0.0508333333333332,Project,0.0,0.2008333333333332
Tamar Bates,SG,Missouri,56,C-,0.0483999999999999,9.2,2.1,1.0,56,0.0483999999999999,56,0.0483999999999999,Project,0.0,0.1983999999999999
Sion James,SF,Duke,57,C-,0.0428,9.3,4.5,3.0,57,0.0428,57,0.0428,Project,0.0,0.1928
Mouhamed Faye,C,Reggio Emilia,55,C-,0.0427899999999999,9.0,6.4,0.4,58,0.0427899999999999,58,0.0427899999999999,Project,0.0,0.1927899999999999
Lachlan Olbrich,PF,Illawarra,59,C-,0.0373166666666666,6.1,3.4,1.1,59,0.0373166666666666,59,0.0373166666666666,Project,0.0,0.1873166666666666
Zvonimir Ivisic,C,Arkansas,60,C-,0.0323333333333332,7.6,4.0,0.7,60,0.0323333333333332,60,0.0323333333333332,Project,0.0,0.18233333333333318
